id	filename	md5	size	state
0006ae80-5774-4199-bbd0-3c120ed547e6	TCGA-27-1835-01Z-00-DX2.213a0703-64a3-4feb-b9c2-03f3a3b4cab6.svs	7872b42badf70b8d69448e66e119beb2	469445917	validated
00e49ebc-adc3-4179-9a5b-ff97f20de671	TCGA-02-0440-01Z-00-DX1.4fef88c9-eff7-4e00-be19-d0db2871329a.svs	69ecdecf68210882a24fffc2d7ec7049	471475127	validated
01116270-bf0e-44c1-bd77-033592e2a3e4	TCGA-12-0819-01Z-00-DX2.CA37F7BE-86D9-421F-B5A5-87E2BDDF7AAB.svs	3011d5c9214f52ef2cd75f916c757f90	109533596	validated
0148b9eb-68fe-4924-a4fb-b4508c21a1b4	TCGA-12-0819-01Z-00-DX3.F5692549-B432-435C-A200-6622BF084F56.svs	9a76178010a5a897cf5b4e2aa1d3f11d	73621746	validated
01de3be6-b248-47a8-80a3-696c066daf86	TCGA-26-6174-01Z-00-DX1.D5C87A05-8A2E-4108-99DA-1B8425D99C42.svs	580df7425e3f964579ac1a42d870cf9c	760352567	validated
0243c8bf-709e-45ce-9c95-5c092364a963	TCGA-19-1390-01Z-00-DX1.43babbc9-2f65-46c8-b61f-27b1e533816a.svs	639d4eb3a08c392476c045a4e27e5565	32384237	validated
030e2538-4610-4ba8-8af9-521c182d16d1	TCGA-28-1755-01Z-00-DX1.913db772-e917-4ae0-a2cc-281e63507f57.svs	28efba6529adf493c10c8d4f2e11e769	176149539	validated
033ab170-9117-4a95-a677-05e873572906	TCGA-08-0511-01Z-00-DX1.D3DD762E-5B8C-47BB-8E12-1C4076BE21D3.svs	fc639b636b151b1fa32d9320493bc1bf	1461084175	validated
034d1645-c83a-4047-aee8-6868a7eb2536	TCGA-06-5859-01Z-00-DX1.ab40e405-f25a-4fd2-95a2-ed86f8a2007f.svs	6aab3111026d19ab0ce7abed427958c9	268949609	validated
035a89f8-a30c-4039-8424-0c38a32546ff	TCGA-06-1086-01Z-00-DX2.e1961f1f-a823-4775-acf7-04a46f05e15e.svs	06893285138ce9015797a54180435dd9	103753261	validated
03d24cd2-fb8a-4889-bea8-27ba5cd31bb4	TCGA-06-0237-01Z-00-DX2.684d94ed-c551-4460-96de-5cdfa0c36622.svs	ef73ccc495cae91c77403e5a61278406	208585729	validated
040dd04d-386b-4411-bab9-971ba0b0bb50	TCGA-06-0649-01Z-00-DX1.6319b11e-055a-4ef9-98d7-02dac5f649fe.svs	eb75e9be349327f0afc3824fe2a8ea81	116675609	validated
042165e8-88a4-40b0-b44a-1635869e898f	TCGA-28-1751-01Z-00-DX1.9be1807e-2cd5-469d-a4ab-6730aa26fc95.svs	caa30f3658d5abb6eef5c76a4147cfa5	547766451	validated
0421bfab-a8e2-4560-b090-3281c25b80ca	TCGA-14-1829-01Z-00-DX8.1345a705-eac9-42c0-9bff-d5730dd4383f.svs	c216f503b0c57205a99c1f9909719b87	687163161	validated
049624f0-9245-4c6c-acd3-9fc37ee9603b	TCGA-27-1836-01Z-00-DX4.e54cb874-8c4b-4f64-89b1-af6891cc6d83.svs	5fc314c45b43a673df020f3a0bf381e9	566676883	validated
059640d7-328b-4dac-bf3e-89fe2b4c958a	TCGA-12-1091-01Z-00-DX2.E3A31BCE-F8DD-4B9D-AB05-A93EACFE5971.svs	e13f3da00631438139938e419cee6c02	140611156	validated
068f5dbb-2a77-43bf-9e26-21630db295be	TCGA-02-0440-01Z-00-DX2.713DD2B7-CCCB-4E75-B51C-92790BFFB035.svs	062c1da428d301f3a424448801cc7df7	1676904228	validated
06967879-1e64-44ca-8de0-1fffb715871c	TCGA-02-0038-01Z-00-DX1.5E369837-371E-4845-AD78-84BB48E1A082.svs	8f0b52c64210b1b7a8c023336d921653	1834418844	validated
075201eb-e834-4479-b216-035f66ab7fa0	TCGA-02-0317-01Z-00-DX1.e9d98c2a-d388-4c03-9e00-c23e7c2a6faf.svs	b3c1e7c21213363e54d3c5d575f4dbf5	669965103	validated
07687b67-347f-46b0-90ed-5fbd2aa8f9ff	TCGA-02-0333-01Z-00-DX1.fe18103d-36ca-47bf-9ce7-b0e683f4decf.svs	3782935ebb40255dc8feb7110db27570	603811003	validated
